color,width,height,rabiola,user_id
red,56,30,False,bf163caa-5f81-4fb5-b90d-74c9f3c90a44
pink,17,42,True,fdd1270a-c65e-4715-be2c-30b9581263c6
red,45,34,False,d9416c37-9e93-47f9-aa3c-097e9fe8d84c
purple,42,32,False,2726ed0b-210d-47df-a3a7-fd0284914f0f
red,54,15,True,b874d728-07b1-4cff-a8d4-f1a256df0364
red,22,55,True,936d7a3a-468b-4ce8-ba18-ed545d55f860
gray,36,59,False,f69bdf04-bba2-4e4d-a130-8097e204eb14
gray,43,14,False,4ced2c33-b4ea-4e70-9bb5-5ffb6b147e75
pink,27,14,False,bfd38dbc-8dac-47e3-930d-907ea0129dd1
green,27,31,False,ba572eb4-4a32-4937-8244-2857498c1ce1
yellow,38,26,False,496f1dac-ba95-4b67-b545-01cd5700104b
black,51,30,True,97f98e7c-10e9-4832-87b9-d013eb775a11
purple,37,10,False,1b03067d-9a30-46a9-b45b-233c1b5f4187
red,35,17,False,0b270be9-3efb-42df-852b-0156a7c9b040
purple,48,11,False,6de30646-79ff-40fa-bb75-d62beab16f5e
black,50,33,False,e863c636-edea-444f-a213-74cc50f2e1cd
gray,54,13,False,c82ba4a0-065c-47c6-9d04-9904fb79a7c7
yellow,46,33,False,d0dede3b-159a-4859-b8e6-01826d6cd449
red,51,40,True,1deb1cce-596a-4317-9697-2638a9b86afc
red,22,55,True,a1962fc7-10fa-4ae2-ac45-c80051bfaa57
purple,53,59,True,11583b3f-7b71-4915-87ca-4a09119513aa
green,47,58,False,fcfcad1a-df19-4246-a9a2-d18373db95c0
green,51,47,False,e5a89467-06b9-4fdf-86fe-d9f54100f8b8
black,27,46,False,218af69a-9567-4d7e-b1ad-66906c44ef4a
pink,10,14,False,4f5d8e23-a9a1-45ff-b51f-b2534a7447c5
green,27,50,False,0aa02b9a-143f-4885-944f-2dc26d8976cb
white,49,45,False,a44a25b9-f0da-44b1-970c-518bb5c87c8e
white,31,36,True,cb361373-21fe-422b-b5c1-6488b358d920
red,21,59,False,72dbc5f4-10b7-4fc3-a319-f9851a654afe
black,48,45,True,35c08756-199a-4644-bfb8-1a7d1a12ab95
pink,29,15,True,d60192de-6602-4bc5-a4b8-f9bd0260b1bf
green,14,46,True,990ea28f-8c73-4640-997d-73307db8a1ee
white,44,49,True,32cbb52f-3326-47d3-9d10-f8eed038feee
green,17,21,False,b11da82b-4f01-4f01-9681-a0e008c6a567
yellow,49,51,True,7c52780f-3fd2-4fcb-bccb-3fe8f0d307f1
red,50,20,False,4bbda0b6-80b8-4676-ab99-ac380117ecda
purple,37,37,True,69488b1d-e1b7-4ec0-9f31-383d289c5290
yellow,52,57,True,4e710b30-375d-460f-bc96-2728d5c05988
yellow,38,39,False,65d6ba56-a833-497e-af9c-d8401898687d
gray,48,17,False,9438a900-780e-48ea-9b4f-08fc63054464
purple,18,27,False,22696e97-fbb9-4b1e-a3fa-bbb0a1da6267
black,59,42,False,684ea5d2-d5db-4a7a-8d15-ea86d5712cb8
purple,16,34,False,43fddf48-3600-48fa-bd23-06802bc5a674
yellow,21,48,True,0b270be9-3efb-42df-852b-0156a7c9b040
gray,46,18,True,2928c98d-0595-40ed-8783-755e730c6163
yellow,31,14,True,b639fee2-ce91-4bb5-a20d-d896d947cff4
green,17,55,True,0736c08c-8d7c-4266-ba88-d41877a86ae9
black,35,30,False,682d5898-0566-4fff-8391-be4b6b6ee547
gray,20,51,True,448e0883-f0e4-4818-8c73-c665411173e7
purple,42,23,True,cd3b2bfb-31f4-4879-8848-8c5b122ce8ee
purple,21,41,False,1f083828-dea0-4181-a419-aea6c9f4c7ae
purple,15,52,False,18c1c78c-5f92-427a-8e50-b6923a975e96
yellow,35,50,False,95885028-40e3-49bc-b746-85270bba9ee8
red,21,15,False,197a1eb6-946e-42ee-a78c-0c43ef757837
green,23,42,False,63042bbe-ab8d-4347-bcb1-da214d401950
red,24,48,False,96ad54d0-da54-4d5d-aa20-d5fa4d741c90
yellow,16,31,False,c8fe4c91-35ac-40d4-adcc-fac6d5e7ffcb
white,44,32,False,420d1252-9cb1-42d5-9252-cf52588e8cb4
red,56,23,False,08c86b5b-632e-4d86-95c4-9991e51182fa
pink,48,47,False,9e555a58-d918-4179-855a-ef98b7161618
green,11,21,False,35ccd082-a369-49bb-a4c4-8158fbf32015
purple,47,40,False,ecf2e8a9-8737-4624-ae5f-e379ac6361a2
yellow,13,26,True,15fdbb3b-dc56-4462-99cd-91d88a0ed531
pink,36,11,True,d6d8c424-3720-4a28-a5bb-a3a6864ce67f
